,title,genres,combined_features,index
220,Kyaa Super Kool Hain Hum,Comedy,   Kyaa   Super   Kool   Hain   Hum Comedy  ,220
221,Shabri,Action|Crime|Drama,   Shabri Action   Crime   Drama  ,221
222,Aazaan,Action|Drama|Mystery,   Aazaan Action   Drama   Mystery  ,222
223,Hum Tum Shabana,Comedy|Crime|Drama,   Hum   Tum   Shabana Comedy   Crime   Drama  ,223
224,Mujhse Fraaandship Karoge,Comedy|Romance,   Mujhse   Fraaandship   Karoge Comedy   Romance  ,224
225,Kya Dilli Kya Lahore,Drama|History|War,   Kya   Dilli   Kya   Lahore Drama   History   War  ,225
226,Shortcut Romeo,Action|Crime|Romance,   Shortcut   Romeo Action   Crime   Romance  ,226
227,Mummy Punjabi: Superman Ki Bhi Maa!!,Comedy|Drama,   Mummy   Punjabi   Superman   Ki   Bhi   Maa   Comedy   Drama  ,227
228,Shanghai,Crime|Mystery|Thriller,   Shanghai Crime   Mystery   Thriller  ,228
229,Saheb Biwi Aur Gangster,Action|Crime|Drama,   Saheb   Biwi   Aur   Gangster Action   Crime   Drama  ,229
230,Barfi!,Comedy|Drama|Romance,   Barfi   Comedy   Drama   Romance  ,230
231,Inkaar,Drama|Romance|Thriller,   Inkaar Drama   Romance   Thriller  ,231
232,Hum Hai Raahi CAR Ke,Comedy|Romance,   Hum   Hai   Raahi   C A R   Ke Comedy   Romance  ,232
233,Miley - Naa Miley - Hum,Comedy|Drama|Romance,   Miley   Naa   Miley   Hum Comedy   Drama   Romance  ,233
234,Matru ki Bijlee ka Mandola,Comedy|Drama,   Matru  ki   Bijlee  ka   Mandola Comedy   Drama  ,234
235,Chennai Express,Action|Comedy,   Chennai   Express Action   Comedy  ,235
236,Dabangg 2,Action|Comedy,   Dabangg  2 Action   Comedy  ,236
237,Jo Hum Chahein,Drama|Romance,   Jo   Hum   Chahein Drama   Romance  ,237
238,Ferrari Ki Sawaari,Comedy|Drama|Family,   Ferrari   Ki   Sawaari Comedy   Drama   Family  ,238
239,Ekk Deewana Tha,Drama|Romance,   Ekk   Deewana   Tha Drama   Romance  ,239
240,Tere Naal Love Ho Gaya,Comedy|Drama|Romance,   Tere   Naal   Love   Ho   Gaya Comedy   Drama   Romance  ,240
241,Rock On 2,Drama|Music,   Rock   On  2 Drama   Music  ,241
242,Tanu Weds Manu Returns,Comedy|Drama|Romance,   Tanu   Weds   Manu   Returns Comedy   Drama   Romance  ,242
243,Tanu Weds Manu Returns,Comedy|Drama|Romance,   Tanu   Weds   Manu   Returns Comedy   Drama   Romance  ,243
244,Brother Superhit!,Action|Comedy|Drama,   Brother   Superhit   Action   Comedy   Drama  ,244
245,Gattu,Drama,   Gattu Drama  ,245
246,Married 2 America,Thriller,   Married  2   America Thriller  ,246
247,Zindagi Tere Naam,Romance,   Zindagi   Tere   Naam Romance  ,247
248,Cocktail,Comedy|Drama|Romance,   Cocktail Comedy   Drama   Romance  ,248
249,Zila Ghaziabad,Action|Crime|Thriller,   Zila   Ghaziabad Action   Crime   Thriller  ,249
250,Student of the Year,Comedy|Drama|Romance,   Student  of  the   Year Comedy   Drama   Romance  ,250
251,Ghost,Horror,   Ghost Horror  ,251
252,Jab Tak Hai Jaan,Drama|Romance,   Jab   Tak   Hai   Jaan Drama   Romance  ,252
253,Yeh Jawaani Hai Deewani,Comedy|Drama|Musical,   Yeh   Jawaani   Hai   Deewani Comedy   Drama   Musical  ,253
254,Son of Sardaar,Action|Comedy,   Son  of   Sardaar Action   Comedy  ,254
255,Shahid,Biography|Crime|Drama,   Shahid Biography   Crime   Drama  ,255
256,English Vinglish,Comedy|Drama|Family,   English   Vinglish Comedy   Drama   Family  ,256
257,Chaalis Chauraasi,Comedy|Crime,   Chaalis   Chauraasi Comedy   Crime  ,257
258,From Sydney with Love,Comedy|Romance,   From   Sydney  with   Love Comedy   Romance  ,258
259,Department,Action|Crime|Thriller,   Department Action   Crime   Thriller  ,259
260,Shirin Farhad Ki Toh Nikal Padi,Romance,   Shirin   Farhad   Ki   Toh   Nikal   Padi Romance  ,260
261,Login,Drama|Thriller,   Login Drama   Thriller  ,261
262,Luv U Soniyo,Comedy|Romance,   Luv   U   Soniyo Comedy   Romance  ,262
263,Staying Alive,Drama,   Staying   Alive Drama  ,263
264,Charlie Kay Chakkar Mein,Thriller,   Charlie   Kay   Chakkar   Mein Thriller  ,264
265,Station,Crime|Drama|Thriller,   Station Crime   Drama   Thriller  ,265
266,Chaar Din Ki Chandni,Comedy|Romance,   Chaar   Din   Ki   Chandni Comedy   Romance  ,266
267,Jodi Breakers,Comedy|Musical|Romance,   Jodi   Breakers Comedy   Musical   Romance  ,267
268,Gulabi Gang,Documentary,   Gulabi   Gang Documentary  ,268
269,Monsoon Shootout,Action|Crime|Drama,   Monsoon   Shootout Action   Crime   Drama  ,269
270,Vishwaroopam,Action|Thriller,   Vishwaroopam Action   Thriller  ,270
271,Ab Tak Chhappan 2,Action|Crime|Thriller,   Ab   Tak   Chhappan  2 Action   Crime   Thriller  ,271
272,Aashiqui 2,Drama|Music|Musical,   Aashiqui  2 Drama   Music   Musical  ,272
273,Machhli Jal Ki Rani Hai,Horror,   Machhli   Jal   Ki   Rani   Hai Horror  ,273
274,Valentine's Night,Romance|Thriller,   Valentine  s   Night Romance   Thriller  ,274
275,Kai po che!,Drama|Sport,   Kai  po  che   Drama   Sport  ,275
276,Issaq,Drama|Romance,   Issaq Drama   Romance  ,276
277,Goliyon Ki Rasleela Ram-Leela,Drama|Musical|Romance,   Goliyon   Ki   Rasleela   Ram   Leela Drama   Musical   Romance  ,277
278,Main Aur Mr. Riight,Comedy|Romance,   Main   Aur   Mr   Riight Comedy   Romance  ,278
279,1920: Evil Returns,Drama|Horror|Romance,  1920   Evil   Returns Drama   Horror   Romance  ,279
280,Baat Bann Gayi,Comedy|Romance,   Baat   Bann   Gayi Comedy   Romance  ,280
281,Listen... Amaya,Drama,   Listen   Amaya Drama  ,281
282,Lootera,Drama|Romance,   Lootera Drama   Romance  ,282
283,Table No. 21,Adventure|Thriller,   Table   No  21 Adventure   Thriller  ,283
284,Chashme Baddoor,Comedy|Drama,   Chashme   Baddoor Comedy   Drama  ,284
285,Mere Dost Picture Abhi Baaki Hai,Comedy,   Mere   Dost   Picture   Abhi   Baaki   Hai Comedy  ,285
286,Aalaap,Sci-Fi,   Aalaap Sci   Fi  ,286
287,Blood Money,Action|Drama|Thriller,   Blood   Money Action   Drama   Thriller  ,287
288,Ghanchakkar,Comedy|Crime|Thriller,   Ghanchakkar Comedy   Crime   Thriller  ,288
289,Challo Driver,Comedy,   Challo   Driver Comedy  ,289
290,Aiyyaa,Comedy|Romance,   Aiyyaa Comedy   Romance  ,290
291,Rush,Crime|Thriller,   Rush Crime   Thriller  ,291
292,Bumboo,Comedy,   Bumboo Comedy  ,292
293,Gori Tere Pyaar Mein!,Comedy|Drama|Romance,   Gori   Tere   Pyaar   Mein   Comedy   Drama   Romance  ,293
294,Satyagraha,Drama,   Satyagraha Drama  ,294
295,OMG: Oh My God!,Comedy|Drama|Fantasy,   O M G   Oh   My   God   Comedy   Drama   Fantasy  ,295
296,Riyasat,Crime,   Riyasat Crime  ,296
297,Chakravyuh,Action|Drama|Thriller,   Chakravyuh Action   Drama   Thriller  ,297
298,Jeena Hai Toh Thok Daal,Drama,   Jeena   Hai   Toh   Thok   Daal Drama  ,298
299,In the Shadows,Drama|Thriller,   In  the   Shadows Drama   Thriller  ,299
300,Love in Bombay,\N,   Love  in   Bombay   N  ,300
301,Ishaqzaade,Action|Drama|Romance,   Ishaqzaade Action   Drama   Romance  ,301
302,Singham Returns,Action|Drama,   Singham   Returns Action   Drama  ,302
303,Hate Story,Drama|Thriller,   Hate   Story Drama   Thriller  ,303
304,Sons of Ram,Animation|Drama|Musical,   Sons  of   Ram Animation   Drama   Musical  ,304
305,Tamanchey: Pyar Mein Dil Pe Maar De Goli,Crime|Romance,   Tamanchey   Pyar   Mein   Dil   Pe   Maar   De   Goli Crime   Romance  ,305
306,Vicky Donor,Comedy|Romance,   Vicky   Donor Comedy   Romance  ,306
307,Bandook,Crime|Thriller,   Bandook Crime   Thriller  ,307
308,Krishna Aur Kans,Action|Adventure|Animation,   Krishna   Aur   Kans Action   Adventure   Animation  ,308
309,Mere Dad Ki Maruti,Comedy|Drama|Romance,   Mere   Dad   Ki   Maruti Comedy   Drama   Romance  ,309
310,Life Ki Toh Lag Gayi,Comedy,   Life   Ki   Toh   Lag   Gayi Comedy  ,310
311,Qissa: The Tale of a Lonely Ghost,Drama|Fantasy,   Qissa   The   Tale  of  a   Lonely   Ghost Drama   Fantasy  ,311
312,Chor Chor Super Chor,Comedy|Drama|Thriller,   Chor   Chor   Super   Chor Comedy   Drama   Thriller  ,312
313,PK,Comedy|Drama|Fantasy,   P K Comedy   Drama   Fantasy  ,313
314,Maximum,Action|Crime|Drama,   Maximum Action   Crime   Drama  ,314
315,Nautanki Saala!,Comedy,   Nautanki   Saala   Comedy  ,315
316,Himmatwala,Action|Comedy,   Himmatwala Action   Comedy  ,316
317,Cigarette Ki Tarah,Romance|Thriller,   Cigarette   Ki   Tarah Romance   Thriller  ,317
318,Bittoo Boss,Romance,   Bittoo   Boss Romance  ,318
319,The Lunchbox,Drama|Romance,   The   Lunchbox Drama   Romance  ,319
320,Teri Meri Kahaani,Comedy|Drama|Romance,   Teri   Meri   Kahaani Comedy   Drama   Romance  ,320
321,Bhaag Milkha Bhaag,Biography|Drama|Sport,   Bhaag   Milkha   Bhaag Biography   Drama   Sport  ,321
322,Ajab Gazabb Love,Comedy|Romance,   Ajab   Gazabb   Love Comedy   Romance  ,322
323,Ramaiya Vastavaiya,Action|Drama|Romance,   Ramaiya   Vastavaiya Action   Drama   Romance  ,323
324,Raanjhanaa,Drama|Romance,   Raanjhanaa Drama   Romance  ,324
325,Haraamkhor,Drama|Romance,   Haraamkhor Drama   Romance  ,325
326,Saheb Biwi Aur Gangster Returns,Action|Crime|Drama,   Saheb   Biwi   Aur   Gangster   Returns Action   Crime   Drama  ,326
327,Chal Pichchur Banate Hain,Comedy|Drama,   Chal   Pichchur   Banate   Hain Comedy   Drama  ,327
328,Kick,Action|Comedy,   Kick Action   Comedy  ,328
329,2 States,Comedy|Drama|Romance,  2   States Comedy   Drama   Romance  ,329
330,Super Model,Drama|Mystery|Romance,   Super   Model Drama   Mystery   Romance  ,330
331,Special 26,Crime|Drama|Thriller,   Special  26 Crime   Drama   Thriller  ,331
332,?: A Question Mark,Horror|Mystery|Thriller,   A   Question   Mark Horror   Mystery   Thriller  ,332
333,D-Day,Action|Thriller,   D   Day Action   Thriller  ,333
334,Jalpari: The Desert Mermaid,Drama|Family|Mystery,   Jalpari   The   Desert   Mermaid Drama   Family   Mystery  ,334
335,Mai,Drama|Family,   Mai Drama   Family  ,335
336,Finger,Crime|Drama|Thriller,   Finger Crime   Drama   Thriller  ,336
337,Gully Boy,Drama|Music,   Gully   Boy Drama   Music  ,337
338,Prague,Mystery|Romance|Thriller,   Prague Mystery   Romance   Thriller  ,338
339,Kismet Love Paisa Dilli,Adventure|Comedy|Crime,   Kismet   Love   Paisa   Dilli Adventure   Comedy   Crime  ,339
340,Yeh Khula Aasmaan,Family,   Yeh   Khula   Aasmaan Family  ,340
341,Arjun: The Warrior Prince,Action|Adventure|Animation,   Arjun   The   Warrior   Prince Action   Adventure   Animation  ,341
342,Bloody Isshq,Drama|Romance,   Bloody   Isshq Drama   Romance  ,342
343,3G - A Killer Connection,Horror|Sci-Fi|Thriller,  3 G   A   Killer   Connection Horror   Sci   Fi   Thriller  ,343
344,Bhoot Returns,Horror|Mystery|Thriller,   Bhoot   Returns Horror   Mystery   Thriller  ,344
345,Ek Thi Daayan,Horror|Romance|Thriller,   Ek   Thi   Daayan Horror   Romance   Thriller  ,345
346,B.A. Pass,Crime|Drama,   B   A   Pass Crime   Drama  ,346
347,Filmistaan,Comedy,   Filmistaan Comedy  ,347
348,Akaash Vani,Drama|Romance,   Akaash   Vani Drama   Romance  ,348
349,Gabbar is Back,Action,   Gabbar  is   Back Action  ,349
350,Gabbar is Back,Action,   Gabbar  is   Back Action  ,350
351,Murder 3,Drama|Mystery|Thriller,   Murder  3 Drama   Mystery   Thriller  ,351
352,Khwaabb,Drama|Romance|Sport,   Khwaabb Drama   Romance   Sport  ,352
353,Go Goa Gone,Action|Adventure|Comedy,   Go   Goa   Gone Action   Adventure   Comedy  ,353
354,Singh Saab the Great,Action|Drama,   Singh   Saab  the   Great Action   Drama  ,354
355,Rajjo,Drama|Romance,   Rajjo Drama   Romance  ,355
356,Happy New Year,Action|Comedy|Music,   Happy   New   Year Action   Comedy   Music  ,356
357,Grand Masti,Comedy|Drama|Romance,   Grand   Masti Comedy   Drama   Romance  ,357
358,Bullett Raja,Action|Crime|Drama,   Bullett   Raja Action   Crime   Drama  ,358
359,Maazii,Thriller,   Maazii Thriller  ,359
360,Holiday,Action|Thriller,   Holiday Action   Thriller  ,360
361,Boss,Action,   Boss Action  ,361
362,Gulaab Gang,Action|Drama,   Gulaab   Gang Action   Drama  ,362
363,Gunday,Action|Drama|Romance,   Gunday Action   Drama   Romance  ,363
364,Mere Genie Uncle,Comedy,   Mere   Genie   Uncle Comedy  ,364
365,Ragini MMS 2,Horror,   Ragini   M M S  2 Horror  ,365
366,Lucky Kabootar,Comedy,   Lucky   Kabootar Comedy  ,366
367,Dehraadun Diary,Thriller,   Dehraadun   Diary Thriller  ,367
368,Umrika,Comedy|Drama,   Umrika Comedy   Drama  ,368
369,Phata Poster Nikhla Hero,Action|Comedy,   Phata   Poster   Nikhla   Hero Action   Comedy  ,369
370,Jolly LLB,Comedy|Drama,   Jolly   L L B Comedy   Drama  ,370
371,Jayantabhai Ki Luv Story,Action|Comedy|Romance,   Jayantabhai   Ki   Luv   Story Action   Comedy   Romance  ,371
372,Gangoobai,Drama|Family,   Gangoobai Drama   Family  ,372
373,Super Nani,Comedy|Drama|Family,   Super   Nani Comedy   Drama   Family  ,373
374,Commando,Action|Thriller,   Commando Action   Thriller  ,374
375,Dedh Ishqiya,Comedy|Drama|Romance,   Dedh   Ishqiya Comedy   Drama   Romance  ,375
376,Sulemani Keeda,Comedy|Romance,   Sulemani   Keeda Comedy   Romance  ,376
377,Mumbai 125 KM 3D,Drama|Horror|Mystery,   Mumbai  125   K M  3 D Drama   Horror   Mystery  ,377
378,John Day,Drama,   John   Day Drama  ,378
379,Rangrezz,Action|Drama,   Rangrezz Action   Drama  ,379
380,Jal,Drama,   Jal Drama  ,380
381,I Love NY,Comedy|Romance,   I   Love   N Y Comedy   Romance  ,381
382,Total Chaos,Comedy|Drama|Romance,   Total   Chaos Comedy   Drama   Romance  ,382
383,Dassehra,Action|Thriller,   Dassehra Action   Thriller  ,383
384,I'm Your Hero,Action|Comedy|Romance,   I  m   Your   Hero Action   Comedy   Romance  ,384
385,Badlapur Boys,Drama,   Badlapur   Boys Drama  ,385
386,Mickey Virus,Comedy|Thriller,   Mickey   Virus Comedy   Thriller  ,386
387,Bombay Talkies,Drama,   Bombay   Talkies Drama  ,387
388,Dilliwaali Zaalim Girlfriend,Comedy|Drama,   Dilliwaali   Zaalim   Girlfriend Comedy   Drama  ,388
389,Ishqeria,Comedy|Romance,   Ishqeria Comedy   Romance  ,389
390,Aurangzeb,Action|Drama|Thriller,   Aurangzeb Action   Drama   Thriller  ,390
391,Fukrey,Comedy|Drama|Romance,   Fukrey Comedy   Drama   Romance  ,391
392,Gippi,Comedy|Drama,   Gippi Comedy   Drama  ,392
393,Bajatey Raho,Comedy|Drama|Thriller,   Bajatey   Raho Comedy   Drama   Thriller  ,393
394,Madras Cafe,Action|Drama|Thriller,   Madras   Cafe Action   Drama   Thriller  ,394
395,Saare Jahaan Se Mehnga...,Comedy|Drama,   Saare   Jahaan   Se   Mehnga   Comedy   Drama  ,395
396,Policegiri,Action|Comedy,   Policegiri Action   Comedy  ,396
397,Sonali Cable,Comedy|Drama,   Sonali   Cable Comedy   Drama  ,397
398,Jai Jawaan Jai Kisaan,Biography|Drama|History,   Jai   Jawaan   Jai   Kisaan Biography   Drama   History  ,398
399,Calling Mr. Joe B Carvalho,Action|Comedy|Mystery,   Calling   Mr   Joe   B   Carvalho Action   Comedy   Mystery  ,399
400,Ugly,Crime|Drama|Mystery,   Ugly Crime   Drama   Mystery  ,400
401,Bang Bang,Action|Adventure|Comedy,   Bang   Bang Action   Adventure   Comedy  ,401
402,Paranthe Wali Gali,Drama|Romance,   Paranthe   Wali   Gali Drama   Romance  ,402
403,Santa Banta Pvt Ltd,Comedy|Crime|Drama,   Santa   Banta   Pvt   Ltd Comedy   Crime   Drama  ,403
404,Ankur Arora Murder Case,Drama|Thriller,   Ankur   Arora   Murder   Case Drama   Thriller  ,404
405,Margarita with a Straw,Drama,   Margarita  with  a   Straw Drama  ,405
406,Zindagi 50 50,Comedy|Drama,   Zindagi  50  50 Comedy   Drama  ,406
407,Siddharth,Drama,   Siddharth Drama  ,407
408,Traffic,Adventure|Drama|Thriller,   Traffic Adventure   Drama   Thriller  ,408
409,Enemmy,Action|Crime|Drama,   Enemmy Action   Crime   Drama  ,409
410,One by Two,Comedy|Drama|Romance,   One  by   Two Comedy   Drama   Romance  ,410
411,Kaagaz Ke Fools,Comedy,   Kaagaz   Ke   Fools Comedy  ,411
412,M Cream,Adventure|Comedy|Drama,   M   Cream Adventure   Comedy   Drama  ,412
413,Sixteen,Drama|Romance|Thriller,   Sixteen Drama   Romance   Thriller  ,413
414,Lakshmi,Drama,   Lakshmi Drama  ,414
415,Roy,Action|Drama|Mystery,   Roy Action   Drama   Mystery  ,415
416,It's Entertainment,Action|Comedy,   It  s   Entertainment Action   Comedy  ,416
417,Bombay Velvet,Action|Crime|Drama,   Bombay   Velvet Action   Crime   Drama  ,417
418,Highway,Crime|Drama|Romance,   Highway Crime   Drama   Romance  ,418
419,Shuddh Desi Romance,Drama|Romance,   Shuddh   Desi   Romance Drama   Romance  ,419
420,Kuku Mathur Ki Jhand Ho Gayi,Comedy|Romance,   Kuku   Mathur   Ki   Jhand   Ho   Gayi Comedy   Romance  ,420
421,Mary Kom,Action|Biography|Drama,   Mary   Kom Action   Biography   Drama  ,421
422,Sooper Se Ooper,Comedy,   Sooper   Se   Ooper Comedy  ,422
423,Happy Ending,Comedy|Romance,   Happy   Ending Comedy   Romance  ,423
424,Titli,Action|Drama|Thriller,   Titli Action   Drama   Thriller  ,424
425,Chaarfutiya Chhokare,Drama|Thriller,   Chaarfutiya   Chhokare Drama   Thriller  ,425
426,Humshakals,Comedy,   Humshakals Comedy  ,426
427,Kaanchi,Drama|Musical|Romance,   Kaanchi Drama   Musical   Romance  ,427
428,Parched,Drama,   Parched Drama  ,428
429,Nasha,Drama|Thriller,   Nasha Drama   Thriller  ,429
430,Manjunath,Biography|Drama,   Manjunath Biography   Drama  ,430
431,Satya 2,Action|Crime|Drama,   Satya  2 Action   Crime   Drama  ,431
432,War Chod Na Yaar,Comedy|War,   War   Chod   Na   Yaar Comedy   War  ,432
433,Heropanti,Action|Romance,   Heropanti Action   Romance  ,433
434,Finding Fanny,Adventure|Comedy|Drama,   Finding   Fanny Adventure   Comedy   Drama  ,434
435,Tamasha,Comedy|Drama|Romance,   Tamasha Comedy   Drama   Romance  ,435
436,Welcome Back,Action|Comedy|Crime,   Welcome   Back Action   Comedy   Crime  ,436
437,W,Crime|Musical|Thriller,   W Crime   Musical   Thriller  ,437
438,Meinu Ek Ladki Chaahiye,Comedy|Crime|Drama,   Meinu   Ek   Ladki   Chaahiye Comedy   Crime   Drama  ,438
439,Hasee Toh Phasee,Comedy|Romance,   Hasee   Toh   Phasee Comedy   Romance  ,439
440,Ek Villain,Action|Crime|Drama,   Ek   Villain Action   Crime   Drama  ,440
441,Horror Story,Horror,   Horror   Story Horror  ,441
442,Patel Ki Punjabi Shaadi,Comedy,   Patel   Ki   Punjabi   Shaadi Comedy  ,442
443,Beyond the Clouds,Drama|Family,   Beyond  the   Clouds Drama   Family  ,443
444,P Se PM Tak,Comedy|Drama,   P   Se   P M   Tak Comedy   Drama  ,444
445,Kajarya,Drama,   Kajarya Drama  ,445
446,Revolver Rani,Action|Comedy|Crime,   Revolver   Rani Action   Comedy   Crime  ,446
